param	value	sigma_m	sigma_p
planet_radius	1.3998569500705718	5.239325393024963e-05	5.075715949054427e-05
T_irr	1719.3899506351274	0.1920802694410213	0.1979222526435933
log_H2O	-3.30635072821639	0.0036409319488086567	0.0037359883098910807
log_CH4	-5.580956424297494	0.012926289087870302	0.012803343717473048
log_CO2	-4.493958100775729	0.008208256244974343	0.008096673680884514
log_CO	-8.666880079137794	0.9232264354280506	0.9758874073503447
